"area","country","phase","phase_label","severity_category","validity_period","population_affected","pct_total_population"
"Central Southern Inland Pastoral (Galgadud)","SOM","1","Phase 1 - Minimal","Minimal","Current",6245,0.4000
"Central Southern Inland Pastoral (Galgadud)","SOM","2","Phase 2 - Stressed","Stressed","Current",6245,0.4000
"Central Southern Inland Pastoral (Galgadud)","SOM","3","Phase 3 - Crisis","Crisis","Current",3122,0.2000
"Central Southern Inland Pastoral (Galgadud)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",3122,0.2000
"Central Southern Inland Pastoral (Galgadud)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Central Southern Inland Pastoral (Galgadud)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Central Southern Inland Pastoral (Galgadud)","SOM","ALL","All Phases - Total","Total","Current",15612,1.0000
"Galgaduud  Urban IDPs (Cabudwaaq and Cadaado)","SOM","1","Phase 1 - Minimal","Minimal","Current",2573,0.0500
"Galgaduud  Urban IDPs (Cabudwaaq and Cadaado)","SOM","2","Phase 2 - Stressed","Stressed","Current",25728,0.5000
"Galgaduud  Urban IDPs (Cabudwaaq and Cadaado)","SOM","3","Phase 3 - Crisis","Crisis","Current",12864,0.2500
"Galgaduud  Urban IDPs (Cabudwaaq and Cadaado)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",23155,0.4500
"Galgaduud  Urban IDPs (Cabudwaaq and Cadaado)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",10291,0.2000
"Galgaduud  Urban IDPs (Cabudwaaq and Cadaado)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Galgaduud  Urban IDPs (Cabudwaaq and Cadaado)","SOM","ALL","All Phases - Total","Total","Current",51456,1.0000
"Galgaduud Urban (Cabudwaaq, Cadaado, Ceel Buur and Ceel Dheer)","SOM","1","Phase 1 - Minimal","Minimal","Current",29039,0.4500
"Galgaduud Urban (Cabudwaaq, Cadaado, Ceel Buur and Ceel Dheer)","SOM","2","Phase 2 - Stressed","Stressed","Current",29039,0.4500
"Galgaduud Urban (Cabudwaaq, Cadaado, Ceel Buur and Ceel Dheer)","SOM","3","Phase 3 - Crisis","Crisis","Current",6453,0.1000
"Galgaduud Urban (Cabudwaaq, Cadaado, Ceel Buur and Ceel Dheer)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",6453,0.1000
"Galgaduud Urban (Cabudwaaq, Cadaado, Ceel Buur and Ceel Dheer)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Galgaduud Urban (Cabudwaaq, Cadaado, Ceel Buur and Ceel Dheer)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Galgaduud Urban (Cabudwaaq, Cadaado, Ceel Buur and Ceel Dheer)","SOM","ALL","All Phases - Total","Total","Current",64532,1.0000
"Galgaduud Urban (Dhuusamarreeb)","SOM","1","Phase 1 - Minimal","Minimal","Current",14215,0.5000
"Galgaduud Urban (Dhuusamarreeb)","SOM","2","Phase 2 - Stressed","Stressed","Current",12794,0.4500
"Galgaduud Urban (Dhuusamarreeb)","SOM","3","Phase 3 - Crisis","Crisis","Current",1422,0.0500
"Galgaduud Urban (Dhuusamarreeb)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",1422,0.0500
"Galgaduud Urban (Dhuusamarreeb)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Galgaduud Urban (Dhuusamarreeb)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Galgaduud Urban (Dhuusamarreeb)","SOM","ALL","All Phases - Total","Total","Current",28430,1.0000
"Galgaduud Urban IDPs (Dhuusamarreeb)","SOM","1","Phase 1 - Minimal","Minimal","Current",5194,0.1500
"Galgaduud Urban IDPs (Dhuusamarreeb)","SOM","2","Phase 2 - Stressed","Stressed","Current",13851,0.4000
"Galgaduud Urban IDPs (Dhuusamarreeb)","SOM","3","Phase 3 - Crisis","Crisis","Current",12119,0.3500
"Galgaduud Urban IDPs (Dhuusamarreeb)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",15582,0.4500
"Galgaduud Urban IDPs (Dhuusamarreeb)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",3463,0.1000
"Galgaduud Urban IDPs (Dhuusamarreeb)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Galgaduud Urban IDPs (Dhuusamarreeb)","SOM","ALL","All Phases - Total","Total","Current",34627,1.0000
